File Name, Search Term, Percentage, Lines(Words), Regex
"lorum.txt","a",38.15%,"1(5;7;15;18;19;20;31;34;35;38;47;56;58;60;62;64;66;69;70;72;73;74;77;78;80;85;87;89;90;91;93;94;97;100;101;103;104;108;110;112;122;123;125;126;127;129;130;134;135;137;138;139;142;143;145;146;147;148;151) 3(1;3;7;8;10;12;14;15;17;18;19;21;26;29;33;34;36;37;42;43;44;49;59;62;64;65;69;71;74;75;76;77;81;85;90;92;99;104) 5(5;8;10;12;13;18;22;23;24;28;31;33;35;39;42;43;45;48;49;52;53;57;64;68;75;77;78;81;84;86;87;88;90;91;96;101;102;106) 7(1;4;9;11;14;15;17;21;24;25;31;33;34;38;43;45;47;48;51;53;55;56;57;66;68;72;75;79;81;82;83;85;86;93) 9(1;2;3;4;5;6;11;15;16;20;21;23;24;28;31;32;35;41;43;44;45;50;54;57;60;61;62;63;65;67;68;69;71;72;75;77;85;88;90;92;93;95;97;98;100;101;103;109;113;115)",TRUE
"lorum.txt","comp1000",0.35%,"3(101) 5(30)",FALSE
